Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Brooklyn,4 AVENUE-9 STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,1,3,3,0,6,13
Brooklyn,45 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,1,1,11,0,0,13
Brooklyn,53 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,4,0,18,0,1,23
Brooklyn,59 STREET,"N,R",N,R,NA,NA,NA,NA,NA,2018,1,0,14,4,35,3,12,68
Brooklyn,62 STREET,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,2,1,3,7
Brooklyn,7 AVENUE,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,1,1,3,0,1,6
Brooklyn,71 STREET,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,2,0,2,0,2,6
Brooklyn,79 STREET,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,4,0,3,0,3,10
Brooklyn,7TH AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,8 AVENUE,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,2,2
Brooklyn,86 STREET,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,86 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,3,4,7,2,6,22
Brooklyn,95 STREET-BAY RIDGE,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,ALABAMA AVENUE,J,J,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,ATLANTIC AVENUE,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,1,4,43,12,3,11,74
Brooklyn,ATLANTIC AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,ATLANTIC AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,1,0,0,5
Brooklyn,"AVENUE ""H""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,1,3,6
Brooklyn,"AVENUE ""J""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,4,2,1,0,13,20
Brooklyn,"AVENUE ""M""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,1,6,4,0,12,23
Brooklyn,"AVENUE ""U""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,3,3
Brooklyn,BAY 50 STREET,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,3,3,7,0,4,17
Brooklyn,BAY PARKWAY,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,2,2,0,5
Brooklyn,BAY PARKWAY,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,3,1,2,4,7,17
Brooklyn,BAY RIDGE AVENUE,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,1,3
Brooklyn,BEDFORD AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,1,4,9,10,2,16,42
Brooklyn,BEDFORD-NOSTRAND AVENUES,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,2,16,12,4,23,57
Brooklyn,BERGEN STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,11,3,0,4,18
Brooklyn,BERGEN STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,4,1,1,7,13
Brooklyn,BEVERLEY ROAD,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
