Year,Quarter,final_Borough,final_Street_Names,final_All_Lines,American Indian_arrests,Black_arrests,Hispanic_arrests,Unknown_arrests,White_arrests,Grand Total_arrests,American Indian_summonses,Black_summonses,Hispanic_summonses,Unknown_summonses,White_summonses,Grand Total_summonses
2018,1,Manhattan,33 STREET,6,0,15,11,0,1,28,0,16,11,2,8,39
2018,1,Manhattan,34 ST.-HERALD SQ.,"B,D,F",0,4,5,3,1,14,2,81,72,41,84,322
2018,1,Manhattan,34 ST.-PENN STATION,"1,2,3",1,4,4,0,4,13,2,33,25,11,36,114
2018,1,Manhattan,34 ST.-PENN STATION,"A,C,E",0,6,7,0,1,14,0,25,9,5,15,65
2018,1,Manhattan,34 STREET,"M,N,Q,R",0,1,1,0,0,3,0,10,3,2,3,21
2018,1,Manhattan,42 ST.-GRAND CENTRAL,"4,5,6",0,4,3,0,3,10,0,13,6,1,5,28
2018,1,Manhattan,42 ST.-PORT AUTHORITY BUS TERMINAL,"A,C,E",0,58,37,0,4,102,2,195,147,23,125,514
2018,1,Manhattan,42 ST.-TIMES SQUARE,"1,2,3",0,31,18,0,2,52,4,127,84,9,54,296
2018,1,Manhattan,42 ST.-TIMES SQUARE,"N,Q,R",0,17,9,0,3,30,0,33,18,5,20,89
2018,1,Manhattan,42 ST.-TIMES SQUARE,S,0,3,3,0,1,7,0,24,19,3,19,69
2018,1,Manhattan,42 STREET,"B,D,F,M",0,8,6,0,1,18,1,19,26,4,13,72
2018,1,Manhattan,49 STREET,"N,Q,R",1,5,1,0,1,8,1,22,13,4,10,59
2018,1,Manhattan,5 AVENUE,"E,M",0,1,0,0,0,1,0,5,7,0,1,14
2018,1,Manhattan,50 STREET,1,0,6,0,0,3,9,0,16,21,1,23,64
2018,1,Manhattan,50 STREET,"C,E",0,4,7,0,2,14,0,6,13,2,11,33
2018,1,Manhattan,51 STREET,6,0,1,0,0,1,2,0,1,0,0,1,2
2018,1,Manhattan,57 STREET,"N,Q,R",0,0,3,0,1,5,0,15,11,5,22,63
2018,1,Manhattan,59 ST.-COLUMBUS CIRCLE,1,0,7,11,0,0,18,0,3,5,1,6,17
2018,1,Manhattan,59 ST.-COLUMBUS CIRCLE,"A,B,C,D",0,7,3,0,3,13,1,38,40,9,52,151
2018,1,Manhattan,59 STREET,"4,5,6",0,10,7,0,2,19,0,21,21,1,10,57
2018,1,Manhattan,6 AVENUE,L,0,2,1,0,0,3,0,1,0,0,0,1
2018,1,Manhattan,66 ST.-LINCOLN CENTER,1,0,1,1,0,0,2,0,9,5,0,4,18
2018,1,Manhattan,72 STREET,"1,2,3",0,3,1,0,0,4,0,13,24,3,35,84
2018,1,Manhattan,77 STREET,6,1,0,1,0,0,2,0,3,4,1,0,8
2018,1,Manhattan,79 STREET,1,0,2,2,0,0,4,0,6,4,1,2,13
2018,1,Manhattan,8 AVENUE,L,0,3,4,0,0,7,0,4,2,0,3,9
2018,1,Manhattan,86 STREET,1,0,5,2,0,0,7,1,8,12,1,6,29
2018,1,Manhattan,86 STREET,"4,5,6",0,20,8,1,4,33,1,18,26,1,14,62
2018,1,Manhattan,96 STREET,"1,2,3",0,3,2,0,2,7,0,4,16,0,12,39
2018,1,Manhattan,96 STREET,6,0,7,9,0,0,16,1,14,16,4,6,42
2018,1,Manhattan,96 STREET,"B,C",0,1,0,0,0,1,0,2,0,0,0,2
2018,1,Manhattan,BLEECKER STREET,6,0,7,12,0,0,19,0,7,7,1,9,29
2018,1,Manhattan,BOWLING GREEN,"4,5",0,1,0,0,0,1,0,0,1,0,0,1
2018,1,Manhattan,BROADWAY/LAFAYETTE,"B,D,F,M",0,0,0,0,2,2,0,4,2,1,6,14
2018,1,Manhattan,BROADWAY/NASSAU,"A,C",0,1,0,0,0,1,0,19,9,2,7,38
2018,1,Manhattan,BROOKLYN BRIDGE-CITY HALL,"4,5,6",0,0,1,0,0,1,0,2,1,0,0,3
2018,1,Manhattan,CANAL STREET,6,0,1,0,0,0,1,0,1,2,1,2,9
2018,1,Manhattan,CANAL STREET,"A,C,E",0,0,2,0,0,2,1,5,4,0,3,15
2018,1,Manhattan,CANAL STREET,"J,Z",0,1,0,0,0,1,0,10,7,0,8,53
2018,1,Manhattan,CHAMBERS ST.-WORLD TRADE CENTER,"A,C,E",0,2,2,0,0,4,0,6,4,1,1,12
2018,1,Manhattan,CHAMBERS STREET,"1,2,3",0,0,1,0,0,1,0,0,0,0,2,2
2018,1,Manhattan,CHAMBERS STREET,"J,Z",0,1,0,0,0,1,0,0,0,0,0,0
2018,1,Manhattan,DELANCEY STREET,F,0,1,0,0,0,1,0,2,5,1,6,15
2018,1,Manhattan,EAST BROADWAY,F,0,3,1,0,1,6,0,4,2,5,5,21
2018,1,Manhattan,ESSEX STREET,"J,M,Z",0,0,1,0,0,1,0,2,0,0,0,2
2018,1,Manhattan,FULTON STREET,"2,3",0,0,1,0,0,1,0,1,0,0,0,3
2018,1,Manhattan,FULTON STREET,"4,5",0,2,3,0,1,6,0,11,6,1,5,26
2018,1,Manhattan,GRAND STREET,"B,D",0,1,0,0,0,1,0,0,1,0,0,2
2018,1,Manhattan,LEXINGTON AVE.,"N,Q,R",0,1,0,0,0,1,0,0,4,0,2,6
2018,1,Manhattan,SOUTH FERRY,1,0,6,1,1,3,11,0,10,5,3,4,22
2018,1,Manhattan,SPRING STREET,"C,E",0,0,0,1,0,1,0,0,0,0,0,0
2018,1,Manhattan,UNION SQUARE,"N,Q,R",0,3,1,0,3,7,0,5,6,3,19,37
2018,1,Manhattan,UNKNOWN,,0,37,14,1,3,57,0,0,0,0,0,0
2018,1,Manhattan,W. 4 STREET,"A,B,C,D,E,F,M",0,8,4,0,2,14,1,16,19,8,64,118
2018,1,Manhattan,WHITEHALL ST.-SOUTH FERRY,R,0,2,0,0,0,2,0,3,2,1,1,8
2018,1,Queens,103 ST.-CORONA PLAZA,7,0,0,2,0,0,2,0,1,2,0,0,3
2018,1,Queens,111 ST.-ROOSEVELT AVE,7,0,0,0,0,1,1,0,0,2,0,0,2
2018,1,Queens,169 STREET,F,0,7,0,1,1,11,3,15,9,15,3,51
2018,1,Queens,179 ST.-JAMAICA,F,0,3,0,0,0,4,2,7,7,6,5,28
2018,1,Queens,21 ST.-QUEENSBRIDGE,F,0,1,0,0,0,1,0,1,0,2,0,3
2018,1,Queens,52 STREET,7,0,1,0,0,0,1,0,0,3,0,0,4
2018,1,Queens,63 DRIVE-REGO PARK,"M,R",0,0,0,0,1,1,3,4,7,4,5,29
