Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Manhattan,207 ST.-INWOOD,A,A,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,207 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,4,0,0,4
Manhattan,23 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,23 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,5,0,0,8
Manhattan,23 STREET,"C,E",C,E,NA,NA,NA,NA,NA,2018,1,0,0,8,3,0,1,12
Manhattan,23 STREET,"F,M",F,M,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Manhattan,23 STREET,"N,R",N,R,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,28 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,20,9,0,1,30
Manhattan,28 STREET,"N,R",N,R,NA,NA,NA,NA,NA,2018,1,0,1,0,1,0,0,2
Manhattan,33 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,1,15,11,0,1,28
Manhattan,34 ST.-HERALD SQ.,"B,D,F",B,D,F,NA,NA,NA,NA,2018,1,0,1,4,5,3,1,14
Manhattan,34 ST.-PENN STATION,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,1,0,4,4,0,4,13
Manhattan,34 ST.-PENN STATION,"A,C,E",A,C,E,NA,NA,NA,NA,2018,1,0,0,6,7,0,1,14
Manhattan,34 STREET,"M,N,Q,R",M,N,Q,R,NA,NA,NA,2018,1,0,1,1,1,0,0,3
Manhattan,42 ST.-GRAND CENTRAL,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,0,4,3,0,3,10
Manhattan,42 ST.-PORT AUTHORITY BUS TERMINAL,"A,C,E",A,C,E,NA,NA,NA,NA,2018,1,0,3,58,37,0,4,102
Manhattan,42 ST.-TIMES SQUARE,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,0,1,31,18,0,2,52
Manhattan,42 ST.-TIMES SQUARE,"N,Q,R",N,Q,R,NA,NA,NA,NA,2018,1,0,1,17,9,0,3,30
Manhattan,42 ST.-TIMES SQUARE,S,S,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,3,0,1,7
Manhattan,42 STREET,"B,D,F,M",B,D,F,M,NA,NA,NA,2018,1,0,3,8,6,0,1,18
Manhattan,49 STREET,"N,Q,R",N,Q,R,NA,NA,NA,NA,2018,1,1,0,5,1,0,1,8
Manhattan,5 AVENUE,"E,M",E,M,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,50 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,0,0,3,9
Manhattan,50 STREET,"C,E",C,E,NA,NA,NA,NA,NA,2018,1,0,1,4,7,0,2,14
Manhattan,51 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Manhattan,57 STREET,"N,Q,R",N,Q,R,NA,NA,NA,NA,2018,1,0,1,0,3,0,1,5
